Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1310;16745;"Journal of Neuroendocrinology";journal;"13652826, 09538194";1,073;Q1;127;132;369;10033;1167;355;3,23;76,01;47,81;0;33;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1989-2023";"Endocrinology, Diabetes and Metabolism (Q1); Cellular and Molecular Neuroscience (Q2); Endocrine and Autonomic Systems (Q2); Endocrinology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
1311;19757;"International Journal of Antimicrobial Agents";journal;"09248579, 18727913";1,072;Q1;154;254;925;9032;4304;816;2,49;35,56;44,76;3;113;Netherlands;Western Europe;"Elsevier B.V.";"1991-2023";"Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (medical) (Q1); Pharmacology (medical) (Q1)";"Medicine"
1312;21101041868;"Rheumatology and Therapy";journal;"21986576, 21986584";1,071;Q2;35;107;297;3895;1010;285;2,80;36,40;37,98;0;25;United Kingdom;Western Europe;"Adis International Ltd";"2014-2023";"Immunology and Allergy (Q2); Rheumatology (Q2)";"Medicine"
1313;19635;"Teaching and Learning in Medicine";journal;"10401334, 15328015";1,070;Q1;58;109;187;5225;550;183;2,69;47,94;57,88;0;54;United States;Northern America;"Routledge";"1989-2023";"Education (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
1314;500147002;"Worldviews on Evidence-Based Nursing";journal;"1545102X, 17416787";1,069;Q1;59;70;178;2595;681;156;3,50;37,07;72,97;0;25;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2004-2023";"Medicine (miscellaneous) (Q1); Nursing (miscellaneous) (Q1)";"Medicine; Nursing"
1315;28300;"Digestive Diseases and Sciences";journal;"01632116, 15732568";1,068;Q1;140;540;1754;16553;4518;1411;2,42;30,65;35,89;2;207;United States;Northern America;"Springer New York";"1979-2023";"Gastroenterology (Q1); Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1316;5800179601;"Substance Abuse: Treatment, Prevention, and Policy";journal;"1747597X";1,068;Q1;56;71;256;3515;895;251;3,14;49,51;53,65;0;50;United Kingdom;Western Europe;"BioMed Central Ltd";"2006-2023";"Health Policy (Q1); Psychiatry and Mental Health (Q2)";"Medicine"
1317;26162;"Journal of Endocrinological Investigation";journal;"03914097, 17208386";1,067;Q2;99;311;771;14039;3185;677;4,24;45,14;52,26;1;149;Switzerland;Western Europe;"Springer International Publishing AG";"1978-2023";"Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1318;21100235630;"Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration";journal;"21679223, 21678421";1,066;Q1;85;109;291;3806;773;277;2,38;34,92;50,07;2;11;United Kingdom;Western Europe;"Informa Healthcare";"2013-2023";"Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
1319;21100275443;"Frontiers in Oncology";journal;"2234943X";1,066;Q2;136;5104;16279;252112;61381;15902;3,43;49,39;43,03;9;4342;Switzerland;Western Europe;"Frontiers Media SA";"2011-2023";"Cancer Research (Q2); Oncology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1320;21100214102;"Frontiers in Pharmacology";journal;"16639812";1,066;Q1;154;3463;11918;215854;56071;11495;4,32;62,33;45,82;3;1802;Switzerland;Western Europe;"Frontiers Media SA";"2010-2023";"Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
1321;14896;"International Journal of Psychology";journal;"1464066X, 00207594";1,066;Q1;78;86;300;3122;1098;297;4,22;36,30;61,85;0;18;United States;Northern America;"Wiley-Blackwell";"1966-2023";"Arts and Humanities (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1)";"Arts and Humanities; Medicine; Psychology"
1322;21100226442;"Frontiers in Microbiology";journal;"1664302X";1,065;Q1;233;4359;13189;277843;61246;12831;4,02;63,74;44,33;15;1650;Switzerland;Western Europe;"Frontiers Media SA";"2010-2023";"Microbiology (Q1); Microbiology (medical) (Q1)";"Immunology and Microbiology; Medicine"
1323;12212;"Journal of Critical Care";journal;"15578615, 08839441";1,064;Q1;105;159;777;4640;2202;619;2,61;29,18;36,06;1;51;United States;Northern America;"W.B. Saunders";"1986-2024";"Critical Care and Intensive Care Medicine (Q1)";"Medicine"
1324;20934;"Sport, Education and Society";journal;"14701243, 13573322";1,064;Q1;80;138;249;7490;971;242;3,71;54,28;44,41;0;59;United Kingdom;Western Europe;"Routledge";"1996-2023";"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)";"Health Professions; Medicine; Social Sciences"
1325;21100932762;"Advanced Therapeutics";journal;"23663987";1,063;Q1;39;159;324;12890;1482;319;4,31;81,07;44,77;0;85;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2018-2023";"Biochemistry (medical) (Q1); Medicine (miscellaneous) (Q1); Pharmaceutical Science (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Genetics (clinical) (Q2)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
1326;31445;"American Journal of Medicine";journal;"00029343, 15557162";1,063;Q1;254;393;1591;6724;3029;844;1,73;17,11;35,24;4;112;United States;Northern America;"Elsevier Inc.";"1946-2023";"Medicine (miscellaneous) (Q1)";"Medicine"
1327;29306;"Clinical Autonomic Research";journal;"09599851, 16191560";1,063;Q1;70;99;258;3844;591;122;2,21;38,83;42,46;0;22;Germany;Western Europe;"D. Steinkopff-Verlag";"1991-2023";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Endocrine and Autonomic Systems (Q2)";"Medicine; Neuroscience"
1328;21100198495;"Journal of the Academy of Nutrition and Dietetics";journal;"22122672";1,063;Q1;195;169;552;7580;1792;490;2,89;44,85;72,58;2;80;United States;Northern America;"Elsevier B.V.";"2012-2023";"Food Science (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)";"Agricultural and Biological Sciences; Medicine; Nursing"
1329;25392;"World Journal of Gastroenterology";journal;"10079327";1,063;Q1;204;432;1689;31961;7637;1688;4,12;73,98;38,88;3;240;United States;Northern America;"Baishideng Publishing Group";"1998-2023";"Gastroenterology (Q1); Medicine (miscellaneous) (Q1)";"Medicine"
1330;20031;"Academic Radiology";journal;"10766332, 18784046";1,062;Q1;110;625;1127;19288;3668;828;3,08;30,86;39,64;1;248;United States;Northern America;"Elsevier Inc.";"1994-2023";"Radiology, Nuclear Medicine and Imaging (Q1)";"Medicine"
1331;13198;"Ethnicity and Disease";journal;"19450826, 1049510X";1,062;Q1;77;2;202;100;602;193;3,03;50,00;80,00;0;2;United States;Northern America;"ISHIB";"1991-1994, 1996-2022";"Medicine (miscellaneous) (Q1); Epidemiology (Q2)";"Medicine"
1332;21101133324;"Ophthalmology Science";journal;"26669145";1,062;Q1;12;125;171;4724;531;157;3,11;37,79;40,90;1;19;United States;Northern America;"Elsevier Inc.";"2021-2023";"Ophthalmology (Q1)";"Medicine"
1333;58112;"Transplantation Reviews";journal;"15579816, 0955470X";1,062;Q1;55;33;112;2318;442;112;3,95;70,24;38,99;0;10;United States;Northern America;"Elsevier Inc.";"1987-2023";"Surgery (Q1); Transplantation (Q1)";"Medicine"
1334;16727;"Journal of Mental Health";journal;"09638237, 13600567";1,061;Q1;83;122;339;6438;1225;315;2,93;52,77;61,90;9;25;United Kingdom;Western Europe;"Informa Healthcare";"1992-2023";"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q2)";"Medicine"
1335;19700201679;"Therapeutic Advances in Musculoskeletal Disease";journal;"1759720X, 17597218";1,061;Q1;48;47;298;2941;1099;293;3,49;62,57;38,03;0;9;United States;Northern America;"SAGE Publications Inc.";"2009-2023";"Orthopedics and Sports Medicine (Q1); Rheumatology (Q2)";"Medicine"
1336;19700172804;"ACS Chemical Neuroscience";journal;"19487193";1,060;Q1;95;373;1192;24326;5078;1163;4,00;65,22;41,31;0;61;United States;Northern America;"American Chemical Society";"2010-2023";"Biochemistry (Q1); Medicine (miscellaneous) (Q1); Physiology (Q1); Cell Biology (Q2); Cognitive Neuroscience (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
1337;28654;"Clinics in Geriatric Medicine";journal;"07490690, 18798853";1,059;Q1;88;64;178;3364;768;154;2,99;52,56;54,31;0;8;United States;Northern America;"W.B. Saunders";"1985-2023";"Geriatrics and Gerontology (Q1)";"Medicine"
1338;21100827467;"Translational Vision Science and Technology";journal;"21642591";1,059;Q1;41;327;1234;12967;4000;1215;2,66;39,65;36,81;0;41;United States;Northern America;"Association for Research in Vision and Ophthalmology Inc.";"2013-2023";"Biomedical Engineering (Q1); Ophthalmology (Q1)";"Engineering; Medicine"
1339;12200154702;"Channels";journal;"19336969, 19336950";1,058;Q1;53;28;106;2764;336;101;3,50;98,71;40,40;1;9;United States;Northern America;"Landes Bioscience";"2007-2023";"Biochemistry (Q1); Biophysics (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1340;12550;"BMC Pregnancy and Childbirth";journal;"14712393";1,057;Q1;114;859;2561;35616;8394;2556;2,98;41,46;59,21;3;588;United Kingdom;Western Europe;"BioMed Central Ltd";"2001-2023";"Obstetrics and Gynecology (Q1)";"Medicine"
1341;28214;"Seminars in Fetal and Neonatal Medicine";journal;"18780946, 1744165X";1,057;Q1;108;50;201;2634;708;193;2,87;52,68;44,09;0;20;United Kingdom;Western Europe;"W.B. Saunders Ltd";"2004-2023";"Pediatrics, Perinatology and Child Health (Q1)";"Medicine"
1342;21101022490;"BMJ Nutrition, Prevention and Health";journal;"25165542";1,056;Q1;15;57;138;1977;496;126;3,51;34,68;58,75;2;37;United Kingdom;Western Europe;"BMJ Publishing Group";"2019-2023";"Health (social science) (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)";"Medicine; Nursing; Social Sciences"
1343;4000148813;"Clinical Genitourinary Cancer";journal;"15587673, 19380682";1,056;Q1;57;159;448;4887;1127;433;2,39;30,74;31,63;2;158;United States;Northern America;"Elsevier Inc.";"2005-2023";"Urology (Q1); Oncology (Q2)";"Medicine"
1344;16432;"Journal of Telemedicine and Telecare";journal;"1357633X, 17581109";1,056;Q1;90;203;312;7554;1440;303;3,73;37,21;53,12;0;91;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2023";"Health Informatics (Q1)";"Medicine"
1345;28541;"Archives of Gerontology and Geriatrics";journal;"18726976, 01674943";1,054;Q2;97;265;681;12679;2741;654;3,81;47,85;45,86;2;76;Ireland;Western Europe;"Elsevier Ireland Ltd";"1982-2024";"Gerontology (Q1); Health (social science) (Q1); Aging (Q2); Geriatrics and Gerontology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine; Nursing; Social Sciences"
1346;83418;"Breast Cancer";journal;"13406868";1,054;Q1;66;105;381;3752;1338;373;3,29;35,73;41,78;1;101;Japan;Asiatic Region;"Springer Japan";"1994-2023";"Medicine (miscellaneous) (Q1); Pharmacology (medical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Oncology (Q2)";"Medicine"
1347;21100900600;"Current Treatment Options in Psychiatry";journal;"21963061";1,054;Q2;26;29;81;1970;276;81;2,18;67,93;49,62;1;11;Switzerland;Western Europe;"Springer International Publishing AG";"2014-2023";"Clinical Psychology (Q1); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
1348;21100784204;"Public Health Research and Practice";journal;"22042091";1,053;Q1;37;57;152;1130;538;143;2,45;19,82;62,73;2;30;Australia;Pacific Region;"Sax Institute";"2014-2023";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
1349;21101055964;"Asian Journal of Social Health and Behavior";journal;"27724204";1,052;Q1;15;25;57;1008;285;50;5,00;40,32;56,47;0;11;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2021-2023";"Health (social science) (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Social Psychology (Q1)";"Medicine; Psychology; Social Sciences"
1350;22307;"HIV Medicine";journal;"14681293, 14642662";1,052;Q1;86;151;348;5203;911;321;2,64;34,46;48,62;3;140;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1999-2023";"Health Policy (Q1); Infectious Diseases (Q1); Pharmacology (medical) (Q1)";"Medicine"
1351;19700175259;"Journal of Geriatric Oncology";journal;"18794068, 18794076";1,052;Q2;53;194;632;7138;1553;532;2,52;36,79;52,11;2;173;United Kingdom;Western Europe;"Elsevier Ltd";"2010-2023";"Geriatrics and Gerontology (Q2); Oncology (Q2)";"Medicine"
1352;17871;"Medical Physics";journal;"24734209, 00942405";1,052;Q1;208;759;1887;28487;7269;1846;3,48;37,53;27,88;5;217;United States;Northern America;"John Wiley and Sons Ltd";"1974-2023";"Biophysics (Q1); Medicine (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1353;35722;"Journal of Reconstructive Microsurgery";journal;"0743684X, 10988947";1,051;Q1;64;100;378;2968;758;363;1,81;29,68;36,52;0;30;United States;Northern America;"Thieme Medical Publishers, Inc.";"1984-2023";"Surgery (Q1)";"Medicine"
1354;19262;"Revista Brasileira de Psiquiatria";journal;"1809452X, 15164446";1,051;Q2;68;82;363;2904;932;223;2,44;35,41;43,57;0;19;Brazil;Latin America;"Associacao Brasileira de Psiquiatria";"1999-2023";"Psychiatry and Mental Health (Q2)";"Medicine"
1355;15701;"Pediatric Allergy and Immunology";journal;"13993038, 09056157";1,050;Q1;103;157;702;6268;2176;471;3,00;39,92;57,94;1;61;United Kingdom;Western Europe;"Blackwell Munksgaard";"1990-2023";"Pediatrics, Perinatology and Child Health (Q1); Immunology (Q2); Immunology and Allergy (Q2)";"Immunology and Microbiology; Medicine"
1356;18627;"Respiration";journal;"14230356, 00257931";1,050;Q1;95;96;394;2705;1286;346;3,23;28,18;32,48;0;49;Switzerland;Western Europe;"S. Karger AG";"1944-2023";"Pulmonary and Respiratory Medicine (Q1)";"Medicine"
1357;22285;"Seminars in Vascular Surgery";journal;"15584518, 08957967";1,050;Q1;57;65;118;3605;371;110;3,31;55,46;45,52;0;32;United States;Northern America;"W.B. Saunders";"1990-2023";"Cardiology and Cardiovascular Medicine (Q1); Surgery (Q1)";"Medicine"
1358;19700175016;"Journal of Gynecologic Oncology";journal;"20050399, 20050380";1,049;Q1;52;83;274;2556;714;222;2,54;30,80;36,18;0;75;South Korea;Asiatic Region;"Korean Society of Gynecologic Oncology and Colposcopy";"2009-2023";"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1); Oncology (Q2)";"Medicine"
1359;5700191208;"Journal of Clinical Lipidology";journal;"18764789, 19332874";1,048;Q1;73;125;324;3894;961;270;2,86;31,15;38,04;0;59;Netherlands;Western Europe;"Elsevier B.V.";"1970, 2007-2023";"Cardiology and Cardiovascular Medicine (Q1); Internal Medicine (Q1); Nutrition and Dietetics (Q1); Endocrinology, Diabetes and Metabolism (Q2)";"Medicine; Nursing"
1360;19700174684;"Journal of diabetes science and technology";journal;"19322968";1,048;Q1;93;298;546;9562;1529;385;2,64;32,09;46,09;6;261;United States;Northern America;"Diabetes Technology Society";"2007-2023";"Bioengineering (Q1); Biomedical Engineering (Q1); Internal Medicine (Q1); Endocrinology, Diabetes and Metabolism (Q2)";"Chemical Engineering; Engineering; Medicine"
1361;19700175042;"Journal of Inflammation Research";journal;"11787031";1,047;Q2;51;456;1116;25917;4979;1105;4,25;56,84;42,68;0;185;New Zealand;Pacific Region;"Dove Medical Press Ltd.";"2010-2023";"Immunology (Q2); Immunology and Allergy (Q2)";"Immunology and Microbiology; Medicine"
1362;20082;"British Journal of Clinical Pharmacology";journal;"13652125, 03065251";1,046;Q1;167;409;1287;16426;4049;1111;3,04;40,16;47,20;10;141;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974-2023";"Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
1363;22810;"British Journal of Criminology";journal;"00070955, 14643529";1,045;Q1;113;43;252;2802;902;250;3,52;65,16;46,91;5;21;United Kingdom;Western Europe;"Oxford University Press";"1960-2023";"Arts and Humanities (miscellaneous) (Q1); Law (Q1); Pathology and Forensic Medicine (Q1); Social Psychology (Q1)";"Arts and Humanities; Medicine; Psychology; Social Sciences"
1364;21100787828;"International Journal of Health Policy and Management";journal;"23225939";1,045;Q1;48;249;623;8735;1695;467;2,69;35,08;51,15;3;116;Iran;Middle East;"Kerman University of Medical Sciences";"2013-2023";"Health Policy (Q1); Health (social science) (Q1); Leadership and Management (Q1); Management, Monitoring, Policy and Law (Q1); Health Information Management (Q2)";"Environmental Science; Health Professions; Medicine; Nursing; Social Sciences"
1365;19600157309;"Journal of Hepato-Biliary-Pancreatic Sciences";journal;"18686982, 18686974";1,045;Q1;77;0;149;0;449;133;6,31;0,00;0,00;0;0;United States;Northern America;"Wiley-Blackwell";"1994, 2010-2021";"Surgery (Q1); Hepatology (Q2)";"Medicine"
1366;21101013588;"Journal of Spine Surgery";journal;"2414469X, 24144630";1,045;Q1;24;59;249;1386;729;210;1,71;23,49;15,52;0;6;China;Asiatic Region;"AME Publishing Company";"2019-2023";"Orthopedics and Sports Medicine (Q1); Surgery (Q1)";"Medicine"
1367;19768;"Rheumatic Disease Clinics of North America";journal;"0889857X, 15583163";1,045;Q2;100;66;190;4400;445;155;2,22;66,67;59,31;0;17;United States;Northern America;"W.B. Saunders";"1987-2023";"Rheumatology (Q2)";"Medicine"
1368;16664;"Journal of Behavioral Medicine";journal;"15733521, 01607715";1,044;Q2;110;108;269;5757;865;264;2,85;53,31;59,96;2;67;United States;Northern America;"Springer New York";"1978-2023";"Psychology (miscellaneous) (Q1); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
1369;15938;"Journal of Intensive Care Medicine";journal;"15251489, 08850666";1,043;Q1;71;161;567;6618;1894;559;3,35;41,11;39,62;1;60;United States;Northern America;"SAGE Publications Inc.";"1986-2023";"Critical Care and Intensive Care Medicine (Q1)";"Medicine"
1370;15116;"Journal of Pediatrics";journal;"00223476, 10976833";1,043;Q1;238;497;2234;14957;5802;1809;2,38;30,09;60,21;3;189;United States;Northern America;"Elsevier Inc.";"1932-2024";"Pediatrics, Perinatology and Child Health (Q1)";"Medicine"
1371;21100464778;"Open Heart";journal;"20533624";1,043;Q1;47;159;530;5268;1387;516;2,51;33,13;34,41;2;89;United Kingdom;Western Europe;"BMJ Publishing Group";"2014-2023";"Cardiology and Cardiovascular Medicine (Q1)";"Medicine"
1372;21129;"European Spine Journal";journal;"09406719, 14320932";1,042;Q1;164;548;1205;16267;3341;1085;2,61;29,68;21,41;2;46;Germany;Western Europe;"Springer Verlag";"1992-2023";"Orthopedics and Sports Medicine (Q1); Surgery (Q1)";"Medicine"
1373;22343;"Infection and Immunity";journal;"10985522, 00199567";1,042;Q1;242;191;730;12307;2268;723;2,85;64,43;47,34;0;58;United States;Northern America;"American Society for Microbiology";"1971-2023";"Infectious Diseases (Q1); Parasitology (Q1); Immunology (Q2); Microbiology (Q2)";"Immunology and Microbiology; Medicine"
1374;16203;"International Review of Psychiatry";journal;"13691627, 09540261";1,042;Q2;101;100;239;5022;799;214;3,42;50,22;48,97;1;39;United Kingdom;Western Europe;"Informa Healthcare";"1989-2023";"Psychiatry and Mental Health (Q2)";"Medicine"
1375;23454;"Journal of Applied Physiology";journal;"87507587, 15221601";1,042;Q1;260;311;1063;11373;2969;918;2,76;36,57;32,85;2;73;United States;Northern America;"American Physiological Society";"1948-1976, 1985-2023";"Medicine (miscellaneous) (Q1); Physiology (Q1); Physiology (medical) (Q2); Sports Science (Q2)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
1376;16820;"Journal of the Neurological Sciences";journal;"0022510X, 18785883";1,042;Q1;154;285;1268;10777;3772;998;3,13;37,81;35,58;0;109;Netherlands;Western Europe;"Elsevier B.V.";"1964-2023";"Neurology (clinical) (Q1); Neurology (Q2)";"Medicine; Neuroscience"
1377;21100466855;"Neurology and Therapy";journal;"21938253, 21936536";1,042;Q1;34;140;229;5786;867;212;3,92;41,33;49,79;2;27;United States;Northern America;"Springer Healthcare";"2012-2023";"Neurology (clinical) (Q1); Neurology (Q2)";"Medicine; Neuroscience"
1378;21100865008;"Neurology: Genetics";journal;"23767839";1,042;Q1;37;13;292;374;733;276;2,14;28,77;53,33;0;2;United States;Northern America;"Lippincott Williams and Wilkins";"2015-2023";"Neurology (clinical) (Q1); Genetics (clinical) (Q2)";"Medicine"
1379;26382;"Drug and Alcohol Review";journal;"14653362, 09595236";1,041;Q1;88;190;473;7825;1521;386;2,89;41,18;56,42;9;103;United States;Northern America;"Wiley-Blackwell";"1989-2023";"Health (social science) (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
1380;21100780480;"Arrhythmia and Electrophysiology Review";journal;"20503377, 20503369";1,040;Q1;30;31;101;1797;278;87;2,64;57,97;20,13;0;9;United Kingdom;Western Europe;"Radcliffe Group Ltd.";"2015-2023";"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q2)";"Medicine"
1381;20238;"Journal of Microbiology, Immunology and Infection";journal;"19959133, 16841182";1,040;Q1;73;153;507;5286;2186;427;3,91;34,55;42,74;0;88;Taiwan;Asiatic Region;"Elsevier Taiwan LLC";"1998-2023";"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (medical) (Q1); Immunology and Allergy (Q2)";"Immunology and Microbiology; Medicine"
1382;24946;"Sexually Transmitted Infections";journal;"14723263, 13684973";1,040;Q1;112;134;432;2584;1088;331;2,66;19,28;54,77;7;100;United Kingdom;Western Europe;"BMJ Publishing Group";"1940-1942, 1973-1975, 1980-1988, 1992-1994, 1996-2023";"Dermatology (Q1); Infectious Diseases (Q1)";"Medicine"
1383;22235;"Heredity";journal;"0018067X, 13652540";1,039;Q2;135;81;302;5784;1055;296;3,25;71,41;32,33;0;13;United Kingdom;Western Europe;"Nature Publishing Group";"1947-2023";"Genetics (Q2); Genetics (clinical) (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1384;3900148612;"Journal of Clinical Sleep Medicine";journal;"15509397, 15509389";1,039;Q1;120;269;1061;9594;3286;828;3,13;35,67;48,72;1;55;United States;Northern America;"American Academy of Sleep Medicine";"2005-2023";"Neurology (clinical) (Q1); Pulmonary and Respiratory Medicine (Q1); Neurology (Q2)";"Medicine; Neuroscience"
1385;11700154712;"Traumatology";journal;"15347656, 10859373";1,039;Q1;51;43;193;2607;554;191;2,79;60,63;66,86;0;23;United States;Northern America;"SAGE Publications Ltd";"1996-1999, 2002-2006, 2008-2023";"Emergency Medicine (Q1); Nursing (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Nursing"
1386;19514;"Veterinary Clinics of North America - Food Animal Practice";journal;"07490720, 15584240";1,039;Q1;85;42;139;2047;497;121;1,60;48,74;40,43;0;2;United States;Northern America;"W.B. Saunders";"1971-1978, 1985-2023";"Food Animals (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Veterinary"
1387;29302;"Clinical and Experimental Medicine";journal;"15918890, 15919528";1,038;Q1;55;447;190;25216;874;187;4,96;56,41;47,38;3;306;Italy;Western Europe;"Springer-Verlag Italia s.r.l.";"2001-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1388;13672;"Diseases of the Esophagus";journal;"11208694, 14422050";1,038;Q1;76;123;337;2620;935;319;2,64;21,30;29,27;0;59;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1988-2023";"Gastroenterology (Q1); Medicine (miscellaneous) (Q1)";"Medicine"
1389;21100332455;"Journal of Huntington's disease";journal;"18796400, 18796397";1,038;Q1;35;33;112;1643;279;107;2,15;49,79;58,39;0;5;Netherlands;Western Europe;"IOS Press BV";"2012-2023";"Neurology (clinical) (Q1); Cellular and Molecular Neuroscience (Q2)";"Medicine; Neuroscience"
1390;12721;"Journal of Parenteral and Enteral Nutrition";journal;"19412444, 01486071";1,038;Q1;115;126;626;4050;2053;556;2,98;32,14;52,49;0;29;United States;Northern America;"John Wiley &amp; Sons Inc.";"1977-2023";"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)";"Medicine; Nursing"
1391;13121;"Seminars in Radiation Oncology";journal;"10534296, 15329461";1,038;Q1;103;46;134;3187;426;124;2,68;69,28;40,72;1;35;United States;Northern America;"W.B. Saunders";"1991-2023";"Radiology, Nuclear Medicine and Imaging (Q1); Cancer Research (Q2); Oncology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1392;39465;"Annals of Surgical Oncology";journal;"10689265, 15344681";1,037;Q1;202;1796;3964;27001;7973;2827;1,97;15,03;36,44;4;1205;United States;Northern America;"Springer New York";"1994-2023";"Surgery (Q1); Oncology (Q2)";"Medicine"
1393;29291;"Community Mental Health Journal";journal;"15732789, 00103853";1,037;Q1;81;155;500;6830;1560;491;3,06;44,06;62,23;4;81;United States;Northern America;"Springer Netherlands";"1965-2023";"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Psychiatry and Mental Health (Q2)";"Medicine; Social Sciences"
1394;5800179609;"Global Public Health";journal;"17441706, 17441692";1,037;Q1;61;137;596;7661;1872;559;2,56;55,92;59,92;3;118;United Kingdom;Western Europe;"Routledge";"2006-2023";"Public Health, Environmental and Occupational Health (Q1)";"Medicine"
1395;22460;"Patient Education and Counseling";journal;"18735134, 07383991";1,037;Q1;161;334;1163;15337;3909;1067;3,01;45,92;70,06;2;139;Ireland;Western Europe;"Elsevier Ireland Ltd";"1983-2024";"Medicine (miscellaneous) (Q1)";"Medicine"
1396;15221;"Archives of Orthopaedic and Trauma Surgery";journal;"14343916, 09368051";1,036;Q1;92;775;941;26248;2794;930;2,79;33,87;18,87;5;66;Germany;Western Europe;"Springer Verlag";"1989-2023";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Surgery (Q1)";"Medicine"
1397;28127;"Environmental Health and Preventive Medicine";journal;"1342078X, 13474715";1,036;Q1;60;77;245;3247;1134;236;4,12;42,17;42,32;0;46;United Kingdom;Western Europe;"Coquina Press";"1996-2023";"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
1398;15945;"Journal of Interprofessional Care";journal;"14699567, 13561820";1,036;Q1;88;152;406;5902;1329;396;2,41;38,83;71,01;2;41;United Kingdom;Western Europe;"Informa Healthcare";"1986-1990, 1992-2023";"Medicine (miscellaneous) (Q1)";"Medicine"
1399;21101047803;"Cancer Drug Resistance";journal;"2578532X";1,035;Q1;24;47;210;5023;844;205;4,27;106,87;45,99;1;45;United States;Northern America;"OAE Publishing Inc.";"2018-2023";"Pharmacology (medical) (Q1); Cancer Research (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
